runid,dataset,alg,lambd,eta,M,K,T,local_batch,seed,record_intvl,final_loss,best_loss
0517T012153Z_NsUVVx,epsilon,0,0.0001,0.02,2,128,4096,1,1,16,0.8584850144582321,0.8584850144582321
0517T220028Z_q6w3Zw,epsilon,1,0.0001,10,8192,128,4096,1,1,16,0.4833705067057724,0.4832856883630609
0610T054336Z_Ybaav7,epsilon,4,0.0001,0.002,1,256,4096,1,1,512,0.8908069974152635,0.8908069974152635
0517T102534Z_I17Lq9,epsilon,1,0.0001,2,4,512,4096,1,1,16,0.4951137714864276,0.4930525663273087
0610T015516Z_qYo3X8,epsilon,4,0.0001,0.5,64,128,4096,1,1,512,0.8162831003783356,0.8162831003783356
0610T014055Z_PBg6E7,epsilon,4,0.0001,0.001,256,32,4096,1,1,512,0.8839701760118271,0.8839701760118271
0517T000625Z_mcXRsc,epsilon,1,0.0001,0.005,32,8,4096,1,1,16,0.5442786867662289,0.5442786867662289
0610T012256Z_BWpnOo,epsilon,4,0.0001,0.1,16,64,4096,1,1,512,0.8303307368359641,0.8303307368359641
0610T005504Z_iZIdhv,epsilon,4,0.0001,0.2,8,2,4096,1,1,512,0.5044711567327713,0.4986001437042609
0610T010357Z_jnfopC,epsilon,3,0.0001,20,2,128,4096,1,1,512,0.7453437954493347,0.7453437954493347
0610T112016Z_JtDPF6,epsilon,0,0.0001,20,4096,16,4096,1,1,512,0.5010298885165224,0.496984722735632
0516T235936Z_0lervO,epsilon,0,0.0001,1,256,512,4096,1,1,16,0.5325092328249766,0.5325092328249766
0610T014658Z_tENuje,epsilon,4,0.0001,5,4096,32,4096,1,1,512,0.473016185408977,0.473016185408977
0610T013329Z_IXqnPz,epsilon,4,0.0001,2,4,64,4096,1,1,512,0.5741108092661439,0.5741108092661439
0610T054315Z_iSNu3j,epsilon,4,0.0001,0.5,8,256,4096,1,1,512,0.8652921106130703,0.8652921106130703
0517T174737Z_TnLNNU,epsilon,0,0.0001,0.05,8192,8,4096,1,1,16,0.8245345537685882,0.8245345537685882
0517T011434Z_QUgfvE,epsilon,1,0.0001,0.1,64,64,4096,1,1,16,0.4878132096308066,0.4878132096308066
0609T235643Z_2OyArX,epsilon,3,0.0001,0.002,4096,1,4096,1,1,512,0.8843431558821362,0.8843431558821362
0610T112535Z_mEzvGZ,epsilon,1,0.0001,50,4,256,4096,1,1,512,1.8192480631922985,0.8911376688840524
0610T111830Z_d1m4fx,epsilon,0,0.0001,20,1024,1,4096,1,1,512,0.4716572947204241,0.4716572947204241
0610T015017Z_lqy2sb,epsilon,4,0.0001,0.5,256,128,4096,1,1,512,0.8159589769177444,0.8159589769177444
0517T005925Z_9wMLAS,epsilon,1,0.0001,0.05,32,4,4096,1,1,16,0.4742984252003014,0.4742984252003014
0610T003303Z_plQN0N,epsilon,3,0.0001,20,512,128,4096,1,1,512,0.7436484868145101,0.7436484868145101
0517T011309Z_D1YTg3,epsilon,1,0.0001,0.02,512,512,4096,1,1,16,0.788112739139595,0.788112739139595
0517T002539Z_IanKkI,epsilon,1,0.0001,0.001,64,1,4096,1,1,16,0.5088491057107289,0.5088491057107289
0516T234912Z_BeGdQU,epsilon,0,0.0001,5,64,128,4096,1,1,16,0.4782505495631986,0.4773377962947911
0610T012421Z_gR2seG,epsilon,4,0.0001,2,1,16,4096,1,1,512,0.5752802890642407,0.5752802890642407
0610T010848Z_FKGYLF,epsilon,3,0.0001,0.005,4,128,4096,1,1,512,0.8909372262826599,0.8909372262826599
0610T003540Z_AIiGXw,epsilon,3,0.0001,0.1,4096,16,4096,1,1,512,0.8768420253327407,0.8768420253327407
0609T232548Z_wF4GVi,epsilon,3,0.0001,100,4096,256,4096,1,1,512,3.0515070705484906,0.8911376688840524
0610T000251Z_j3NQZG,epsilon,3,0.0001,5,1,8,4096,1,1,512,0.6294654309407919,0.6179200103781889
0517T003442Z_Viifm6,epsilon,0,0.0001,0.1,4,128,4096,1,1,16,0.7820901581264913,0.7820901581264913
0517T014654Z_NDoPNf,epsilon,0,0.0001,0.2,512,32,4096,1,1,16,0.7198062380089181,0.7198062380089181
0517T163900Z_BzthJ9,epsilon,0,0.0001,0.2,4096,64,4096,1,1,16,0.7197975272149149,0.7197975272149149
0517T005020Z_r54lqZ,epsilon,0,0.0001,0.05,4,128,4096,1,1,16,0.8250855801898536,0.8250855801898536
0610T000244Z_3C7nRF,epsilon,3,0.0001,5,512,4,4096,1,1,512,0.5135376166632614,0.5135376166632614
0610T003932Z_v2cDQH,epsilon,3,0.0001,2,8,32,4096,1,1,512,0.8126786086701334,0.8126786086701334
0517T012523Z_kXPM6Q,epsilon,0,0.0001,0.05,4,4,4096,1,1,16,0.8251149946793322,0.8251149946793322
0610T000226Z_hepgAd,epsilon,3,0.0001,20,1,8,4096,1,1,512,0.6888725181638119,0.5835266818798007
0610T111812Z_o75I6h,epsilon,0,0.0001,50,4096,64,4096,1,1,512,0.663883272634842,0.6542904708879707
0517T103726Z_PHf1vC,epsilon,1,0.0001,2,128,8,4096,1,1,16,0.4754218111168862,0.4750503663932788
0610T011849Z_cxZB0L,epsilon,4,0.0001,10,128,8,4096,1,1,512,0.4741042178847104,0.4740757885535391
0517T102337Z_ievpO2,epsilon,1,0.0001,5,16,128,4096,1,1,16,0.4906340593489135,0.4901365905960843
0517T210326Z_Fxk3Ep,epsilon,1,0.0001,1,2048,4,4096,1,1,16,0.4715223910963329,0.471512763988962
0517T004801Z_UPJrRU,epsilon,0,0.0001,10,512,256,4096,1,1,16,0.4878136510544098,0.4845414384007935
0610T014815Z_WCgVVp,epsilon,4,0.0001,1,8,64,4096,1,1,512,0.6491111204018439,0.6491111204018439
0610T054213Z_cdjQcF,epsilon,3,0.0001,0.02,256,256,4096,1,1,512,0.8907634897916662,0.8907634897916662
0610T003600Z_ArpRyi,epsilon,3,0.0001,0.02,256,32,4096,1,1,512,0.888467701805959,0.888467701805959
0517T022906Z_IWLUF5,epsilon,0,0.0001,0.05,64,2,4096,1,1,16,0.8244136921454307,0.8244136921454307
0517T014230Z_2KphYe,epsilon,1,0.0001,0.05,1024,128,4096,1,1,16,0.5858243094809022,0.5858243094809022
0517T183836Z_MPNTYr,epsilon,0,0.0001,0.02,4096,8,4096,1,1,16,0.8582600671938616,0.8582600671938616
