runid,dataset,alg,lambd,eta,M,K,T,local_batch,seed,record_intvl,final_loss,best_loss
0602T204741Z_lvPeu5,a9a,-1,0.001,0.001,2,2,4096,1,1,512,0.40712624234094136,0.4010149796858685
0602T205109Z_ZLbgML,a9a,2,0.001,2.0,256,256,4096,1,1,512,1.0477723846259939,0.9907236908433286
0602T204906Z_odmIav,a9a,-1,0.001,5.0,8,4,4096,1,1,512,5.096444435912866,1.1451013886529826
0602T213513Z_VQOOXA,a9a,3,0.001,0.002,8192,2,4096,1,1,512,0.7797472622301601,0.7797472622301601
0602T205337Z_8Y4xh9,a9a,-1,0.001,2.0,1024,8,4096,1,1,512,1.5538889922760215,1.1451013886529833
0602T204954Z_ya3tjf,a9a,2,0.001,0.1,128,128,4096,1,1,512,0.33566895305293404,0.33566895305293404
0602T205119Z_CqHxOs,a9a,0,0.001,0.001,1024,512,4096,1,1,512,0.7796270306017333,0.7796270306017333
0602T224410Z_ca2JRO,a9a,4,0.001,0.5,2,512,4096,1,1,512,0.5792530945398806,0.5792530945398806
0602T204738Z_B4tNex,a9a,2,0.001,0.005,4,4,4096,1,1,512,0.3612685111992196,0.35805106722956515
0602T204736Z_L1wmgG,a9a,3,0.001,1.0,128,512,4096,1,1,512,0.7010177611010642,0.7010177611010642
0602T204840Z_IbGymM,a9a,0,0.001,0.01,16,256,4096,1,1,512,0.4623322816189716,0.4623322816189716
0602T204726Z_g7TGcV,a9a,0,0.001,0.05,32,1,4096,1,1,512,0.35931658804038,0.35931658804038
0602T224237Z_9CCqPv,a9a,4,0.001,0.01,16,64,4096,1,1,512,0.5713776054827371,0.5713776054827371
0602T204957Z_VkqQky,a9a,0,0.001,2.0,256,256,4096,1,1,512,1.0451237363115928,0.9617641447223104
0603T121611Z_i1aEto,a9a,1,0.001,0.0002,32,1,4096,1,1,512,0.3490476872030712,0.3490476872030712
0602T205059Z_iW2ixo,a9a,1,0.001,1.0,512,512,4096,1,1,512,0.5968819041977388,0.5968819041977388
0602T204822Z_EfmPnM,a9a,2,0.001,5.0,256,1,4096,1,1,512,0.9708978147973044,0.4408448394960758
0602T224158Z_deINvn,a9a,4,0.001,1.0,128,4,4096,1,1,512,0.33890917680892696,0.3371801471542856
0602T224429Z_YG786g,a9a,4,0.001,0.002,32,512,4096,1,1,512,1.1166780995635763,1.1166780995635763
0603T121546Z_jOW9n2,a9a,1,0.001,0.0002,2048,16,4096,1,1,512,0.4779428017897658,0.4779428017897658
0602T213223Z_UcucZ4,a9a,0,0.001,2.0,2048,16,4096,1,1,512,0.6833595966097132,0.6598614885494007
0602T204812Z_9yssHl,a9a,1,0.001,0.002,16,1,4096,1,1,512,0.3404017577705875,0.3404017577705875
0603T120702Z_F7sMfo,a9a,0,0.001,10.0,2,2,4096,1,1,512,6.457990977588227,1.1451013886529824
0602T204915Z_HHvBXs,a9a,1,0.001,0.005,32,32,4096,1,1,512,0.3482745937177925,0.3482745937177925
0602T204957Z_AnoH4O,a9a,3,0.001,0.01,1,32,4096,1,1,512,0.8907920265646462,0.8907920265646462
0602T224238Z_WGFOog,a9a,4,0.001,0.5,4096,256,4096,1,1,512,0.4439112504764853,0.4439112504764853
0602T204950Z_p055dV,a9a,-1,0.001,0.5,256,64,4096,1,1,512,3.077622090575804,1.1451013886529842
0602T204919Z_pJHnPl,a9a,1,0.001,0.01,64,256,4096,1,1,512,0.3810261160484089,0.3810261160484089
0602T204814Z_r85I8f,a9a,-1,0.001,0.02,2,1,4096,1,1,512,1.1240893154731821,0.721369007355909
0602T204729Z_WSJEuJ,a9a,3,0.001,0.001,64,64,4096,1,1,512,1.1198076700017057,1.1198076700017057
0603T131206Z_PLuk1J,a9a,-1,0.001,0.2,4096,1,4096,1,1,512,0.3337959962937365,0.33354766544328784
0602T205420Z_O42Dqi,a9a,1,0.001,0.005,4,64,4096,1,1,512,0.3699133869786879,0.3699133869786879
0602T224239Z_PLmlCe,a9a,4,0.001,5.0,256,8,4096,1,1,512,0.6558381755798399,0.4552610808808268
0602T205504Z_G89La5,a9a,-1,0.001,0.002,1,8,4096,1,1,512,0.6811684606657364,0.6051872765893689
0602T204907Z_A14ryy,a9a,0,0.001,0.02,32,4,4096,1,1,512,0.3976195158398893,0.3976195158398893
0602T205232Z_C3lEKb,a9a,2,0.001,0.005,1,16,4096,1,1,512,0.4199615950290458,0.4199615950290458
0602T224221Z_QxVyTl,a9a,4,0.001,1.0,1024,16,4096,1,1,512,0.33345926757975153,0.33345926757975153
0603T120702Z_4nhE9H,a9a,0,0.001,50.0,4096,2,4096,1,1,512,6.327621813711049,1.1451013886530377
0602T212815Z_HZPHB3,a9a,0,0.001,0.001,4096,8,4096,1,1,512,0.7797247575292451,0.7797247575292451
0602T204744Z_0z0BOg,a9a,-1,0.001,0.5,2,4,4096,1,1,512,15.295216520423141,1.1451013886529824
0602T224425Z_Wl8964,a9a,4,0.001,0.05,512,128,4096,1,1,512,0.5710707408188506,0.5710707408188506
0602T204829Z_OqwBxz,a9a,2,0.001,0.002,16,8,4096,1,1,512,0.38269699266306817,0.38269699266306817
0603T134443Z_xVc443,a9a,-1,0.001,0.0001,32,512,4096,1,1,512,0.37914454368864936,0.37914454368864936
0602T204744Z_3jhv6c,a9a,3,0.001,0.1,64,512,4096,1,1,512,0.9409186947715372,0.9409186947715372
0602T204857Z_tvTMme,a9a,1,0.001,0.05,32,128,4096,1,1,512,0.3367161059267097,0.3367161059267097
0602T204725Z_38CS0O,a9a,-1,0.001,0.05,1024,32,4096,1,1,512,0.3706611390944932,0.3605917824419149
0603T132102Z_lcfBOb,a9a,-1,0.001,0.2,2048,64,4096,1,1,512,1.4193951570871133,1.1451013886529906
0602T204736Z_W8sJ1m,a9a,0,0.001,0.01,2,64,4096,1,1,512,0.4562848279203027,0.4562848279203027
0602T204918Z_vjF89F,a9a,-1,0.001,0.5,256,1,4096,1,1,512,0.3409819449505404,0.3384335918868501
0602T204918Z_kduxcT,a9a,1,0.001,0.005,32,1,4096,1,1,512,0.3405866169125386,0.3362248173290924
0602T204849Z_dDLDLA,a9a,2,0.001,0.05,128,512,4096,1,1,512,0.3488693642758071,0.3488693642758071
0602T204815Z_yVAQKq,a9a,2,0.001,0.5,32,1,4096,1,1,512,0.3955378524012429,0.36193052407473975
0602T205015Z_5eZVh8,a9a,0,0.001,0.01,512,512,4096,1,1,512,0.4628267739388985,0.4628267739388985
0602T224222Z_cJ4rnK,a9a,4,0.001,0.001,1024,4,4096,1,1,512,0.395695559997012,0.395695559997012
0602T204817Z_B2sEe7,a9a,1,0.001,0.02,64,16,4096,1,1,512,0.334650304864446,0.334650304864446
0602T205127Z_FXXNoB,a9a,1,0.001,0.02,1024,16,4096,1,1,512,0.33349391426219976,0.33349391426219976
0603T134430Z_u2BUaG,a9a,-1,0.001,0.0001,2,2,4096,1,1,512,0.4310451923930199,0.4043289657670266
0602T204739Z_4x7Fev,a9a,3,0.001,5.0,128,512,4096,1,1,512,0.8538872025461193,0.7969185445696361
0603T121516Z_p6qody,a9a,4,0.001,0.0002,64,8,4096,1,1,512,0.610716205189306,0.5763551603636917
0603T121224Z_1VbUz4,a9a,1,0.001,0.0001,1024,32,4096,1,1,512,0.6040002210222177,0.5745182485404877
0602T204818Z_0pAahU,a9a,1,0.001,5.0,8,64,4096,1,1,512,3.111752416005937,1.1451013886529826
0602T204832Z_rg0GRh,a9a,1,0.001,0.5,32,4,4096,1,1,512,0.3855583248046083,0.3776396770476632
0602T212815Z_7FPckD,a9a,1,0.001,0.5,4096,128,4096,1,1,512,0.39077385021635785,0.3884185075334914
0602T224248Z_AqCuIu,a9a,4,0.001,0.5,4096,128,4096,1,1,512,0.4240733076345199,0.4240733076345199
0602T204725Z_MHBTYU,a9a,3,0.001,0.005,2,32,4096,1,1,512,0.9710913866112936,0.9710913866112936
0603T121536Z_XXtOac,a9a,3,0.001,50.0,4,256,4096,1,1,512,8.808905023926243,1.1451013886529824
0603T120724Z_6Xfiz3,a9a,1,0.001,0.0002,64,4,4096,1,1,512,0.42770933052542864,0.42770933052542864
0602T212815Z_MI2YIf,a9a,1,0.001,0.5,8192,16,4096,1,1,512,0.3604225344387503,0.3591263412483155
